Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI
2008-07-30,1217390400000,22.84,21.21,3.2875,,,,,,,,,,,,,,,,
2008-07-31,1217476800000,22.7071,22.94,3.2525,,,,,,,,,,,,,,,,
2008-08-01,1217563200000,22.38,22.57,3.2225,,,,,,,,,,,,,,,,
2008-08-04,1217822400000,21.89,23.49,3.24188,,,,,,,,,,,,,,,,
2008-08-05,1217908800000,22.9486,21.14,3.28125,,,,,,,,,,,,,,,,
2008-08-06,1217995200000,23.4557,20.23,3.26688,,,,,,,,,,,,,,,,
2008-08-07,1218081600000,23.3671,21.15,3.27625,,,,,,,,,,,,,,,,
2008-08-08,1218168000000,24.2214,20.66,3.23063,,,,,,,,,,,,,,,,
2008-08-11,1218427200000,24.7943,20.12,3.24063,,,,,,,,,,,,,,,,
2008-08-12,1218513600000,25.2471,21.17,3.27063,,,,,,,,,,,,,,,,
2008-08-13,1218600000000,25.6143,21.55,3.21813,,,,,,,,,,,,,,,,
2008-08-14,1218686400000,25.6171,20.34,3.23313,,,,,,,,,,,,,,,,
2008-08-15,1218772800000,25.1057,19.58,3.255,,,,,,,,,,,,,,,,
2008-08-18,1219032000000,25.0557,20.98,3.26313,,,,,,,,,,,,,,,,
2008-08-19,1219118400000,24.79,21.28,3.24375,,,,,,,,,,,,,,,,
2008-08-20,1219204800000,25.12,20.42,3.23438,,,,,,,,,,,,,,,,
2008-08-21,1219291200000,24.8986,19.82,3.17188,,,,,,,,,,,,,,,,
2008-08-22,1219377600000,25.2557,18.81,3.2125,,,,,,,,,,,,,,,,
2008-08-25,1219636800000,24.65,20.97,3.2125,,,,,,,,,,,,,,,,
2008-08-26,1219723200000,24.8057,20.49,3.22,,,,,,,,,,,,,,,,
2008-08-27,1219809600000,24.9528,19.76,3.23063,,,,,,,,,,,,,,,,
2008-08-28,1219896000000,24.82,19.43,3.20688,,,,,,,,,,,,,,,,
2008-08-29,1219982400000,24.2186,20.65,3.20688,,,,,,,,,,,,,,,,
2008-09-02,1220328000000,23.7414,21.99,3.195,,,,,,,,,,,,,,,,
2008-09-03,1220414400000,23.8514,21.43,3.21438,,,,,,,,,,,,,,,,
2008-09-04,1220500800000,23.0314,24.03,3.17875,,,,,,,,,,,,,,,,
2008-09-05,1220587200000,22.8829,23.06,3.18125,,,,,,,,,,,,,,,,
2008-09-08,1220846400000,22.56,22.64,3.12938,,,,,,,,,,,,,,,,
2008-09-09,1220932800000,21.6686,25.47,3.23875,,,,,,,,,,,,,,,,
2008-09-10,1221019200000,21.6586,24.52,3.16625,,,,,,,,,,,,,,,,
2008-09-11,1221105600000,21.8071,24.39,3.14375,,,,,,,,,,,,,,,,
2008-09-12,1221192000000,21.2771,25.66,3.1275,,,,,,,,,,,,,,,,
2008-09-15,1221451200000,20.0514,31.7,2.9875,,,,,,,,,,,,,,,,
2008-09-16,1221537600000,19.9829,30.3,2.9525,,,,,,,,,,,,,,,,
2008-09-17,1221624000000,18.2614,36.22,3.225,,,,,,,,,,,,,,,,
2008-09-18,1221710400000,19.1557,33.1,3.35125,,,,,,,,,,,,,,,,
2008-09-19,1221796800000,20.13,32.07,3.45875,,,,,,,,,,,,,,,,
2008-09-22,1222056000000,18.7214,33.85,3.5125,,,,,,,,,,,,,,,,
2008-09-23,1222142400000,18.12,35.72,3.53688,,,,,,,,,,,,,,,,
2008-09-24,1222228800000,18.3871,35.19,3.7575,,,,,,,,,,,,,,,,
2008-09-25,1222315200000,18.8471,32.82,3.9825,,,,,,,,,,,,,,,,
2008-09-26,1222401600000,18.32,34.74,3.89125,,,,,,,,,,,,,,,,
