Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2008-07-30,1217390400000,22.84,21.21,2.46375,,,,,,,,,,,,,,,,,,,
2008-07-31,1217476800000,22.7071,22.94,2.46125,,,,,,,,,,,,,,,,,,,
2008-08-01,1217563200000,22.38,22.57,2.46,,,,,,,,,,,,,,,,,,,
2008-08-04,1217822400000,21.89,23.49,2.46125,,,,,,,,,,,,,,,,,,,
2008-08-05,1217908800000,22.9486,21.14,2.4625,,,,,,,,,,,,,,,,,,,
2008-08-06,1217995200000,23.4557,20.23,2.46188,,,,,,,,,,,,,,,,,,,
2008-08-07,1218081600000,23.3671,21.15,2.46313,,,,,,,,,,,,,,,,,,,
2008-08-08,1218168000000,24.2214,20.66,2.46063,,,,,,,,,,,,,,,,,,,
2008-08-11,1218427200000,24.7943,20.12,2.46375,,,,,,,,,,,,,,,,,,,
2008-08-12,1218513600000,25.2471,21.17,2.46375,,,,,,,,,,,,,,,,,,,
2008-08-13,1218600000000,25.6143,21.55,2.4668799999999997,,,,,,,,,,,,,,,,,,,
2008-08-14,1218686400000,25.6171,20.34,2.46563,,,,,,,,,,,,,,,,,,,
2008-08-15,1218772800000,25.1057,19.58,2.46563,,,,,,,,,,,,,,,,,,,
2008-08-18,1219032000000,25.0557,20.98,2.47063,,,,,,,,,,,,,,,,,,,
2008-08-19,1219118400000,24.79,21.28,2.47125,,,,,,,,,,,,,,,,,,,
2008-08-20,1219204800000,25.12,20.42,2.47188,,,,,,,,,,,,,,,,,,,
2008-08-21,1219291200000,24.8986,19.82,2.47188,,,,,,,,,,,,,,,,,,,
2008-08-22,1219377600000,25.2557,18.81,2.47188,,,,,,,,,,,,,,,,,,,
2008-08-25,1219636800000,24.65,20.97,2.47188,,,,,,,,,,,,,,,,,,,
2008-08-26,1219723200000,24.8057,20.49,2.47,,,,,,,,,,,,,,,,,,,
2008-08-27,1219809600000,24.9528,19.76,2.46875,,,,,,,,,,,,,,,,,,,
2008-08-28,1219896000000,24.82,19.43,2.48625,,,,,,,,,,,,,,,,,,,
2008-08-29,1219982400000,24.2186,20.65,2.48563,,,,,,,,,,,,,,,,,,,
2008-09-02,1220328000000,23.7414,21.99,2.48563,,,,,,,,,,,,,,,,,,,
2008-09-03,1220414400000,23.8514,21.43,2.48563,,,,,,,,,,,,,,,,,,,
2008-09-04,1220500800000,23.0314,24.03,2.4875,,,,,,,,,,,,,,,,,,,
2008-09-05,1220587200000,22.8829,23.06,2.4868799999999998,,,,,,,,,,,,,,,,,,,
2008-09-08,1220846400000,22.56,22.64,2.4868799999999998,,,,,,,,,,,,,,,,,,,
2008-09-09,1220932800000,21.6686,25.47,2.48813,,,,,,,,,,,,,,,,,,,
2008-09-10,1221019200000,21.6586,24.52,2.48875,,,,,,,,,,,,,,,,,,,
2008-09-11,1221105600000,21.8071,24.39,2.4868799999999998,,,,,,,,,,,,,,,,,,,
