Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI
2008-07-30,1217390400000,22.84,21.21,2.4556299999999998,,,,,,,,,,
2008-07-31,1217476800000,22.7071,22.94,2.435,,,,,,,,,,
2008-08-01,1217563200000,22.38,22.57,2.41375,,,,,,,,,,
2008-08-04,1217822400000,21.89,23.49,2.41063,,,,,,,,,,
2008-08-05,1217908800000,22.9486,21.14,2.41625,,,,,,,,,,
2008-08-06,1217995200000,23.4557,20.23,2.40625,,,,,,,,,,
2008-08-07,1218081600000,23.3671,21.15,2.415,,,,,,,,,,
2008-08-08,1218168000000,24.2214,20.66,2.40875,,,,,,,,,,
2008-08-11,1218427200000,24.7943,20.12,2.40125,41.77041395873185,0.5776952039378944,-0.2519952039378932,-43.620788647742366,0.5662797178355579,-0.5662797178355579,-100.0,1.1439749217734523,-0.8182749217734511,-71.52909615404127
2008-08-12,1218513600000,25.2471,21.17,2.39875,37.229289152680025,0.5249384079766504,-0.5249384079766504,-100.0,0.5133265484812402,-0.1648265484812388,-32.10949228496069,1.0382649564578905,-0.6897649564578892,-66.43438673024927
2008-08-13,1218600000000,25.6143,21.55,2.40188,25.658964107637946,0.368932547358698,-0.368932547358698,-100.0,0.3571364336162066,0.001463566383792525,0.40980595818049,0.7260689809749046,-0.36746898097490543,-50.61075333110897
2008-08-14,1218686400000,25.6171,20.34,2.39938,21.83573819470026,0.3148824853252066,-0.3148824853252066,-100.0,0.3030973586209562,0.6640026413790459,219.07239456000212,0.6179798439461628,0.3491201560538393,56.493777179608784
2008-08-15,1218772800000,25.1057,19.58,2.39813,29.928265820918078,0.4207855255961324,-0.4207855255961324,-100.0,0.4092416837812536,-0.10924168378125644,-26.693684468283024,0.8300272093773859,-0.5300272093773888,-63.85660655329227
2008-08-18,1219032000000,25.0557,20.98,2.395,29.606630568473587,0.41548999912160056,-0.41548999912160056,-100.0,0.4039841811600233,-0.3010841811600216,-74.5287056278964,0.8194741802816239,-0.7165741802816221,-87.44316752424845
2008-08-19,1219118400000,24.79,21.28,2.39188,25.348526647336378,0.3527864603817505,-0.3227864603817494,-91.49627228677141,0.3414174808529307,-0.3414174808529307,-100.0,0.6942039412346812,-0.6642039412346801,-95.67850335930903
2008-08-20,1219204800000,25.12,20.42,2.37875,22.5511126433396,0.3186460774483049,-0.3186460774483049,-100.0,0.3071889814137201,0.5942110185862823,193.4350040329093,0.625835058862025,0.27556494113797747,44.03156027069587
2008-08-21,1219291200000,24.8986,19.82,2.41375,20.063330508820073,0.28171539548364777,-0.28171539548364777,-100.0,0.2701922279883036,0.887007772011696,328.28767082452646,0.5519076234719513,0.6052923765280482,109.6727696421845
2008-08-22,1219377600000,25.2557,18.81,2.4175,19.995078973535836,0.28481302551579546,-0.28481302551579546,-100.0,0.273106435838697,1.1311935641613022,414.1951326366441,0.5579194613544924,0.8463805386455068,151.70299609027816
2008-08-25,1219636800000,24.65,20.97,2.4175,23.88226840091628,0.330895562137318,-0.330895562137318,-100.0,0.3194697281457604,1.2991302718542368,406.652072919253,0.6503652902830784,0.9682347097169187,148.8755202934468
2008-08-26,1219723200000,24.8057,20.49,2.4275,22.28035622985717,0.3110661596537501,-0.3110661596537501,-100.0,0.299520604702586,1.6232793952974165,541.9591740305408,0.6105867643563361,1.3122132356436662,214.91019986765775
2008-08-27,1219809600000,24.9528,19.76,2.44,22.73944633876488,0.31926665949310085,-0.31926665949310085,-100.0,0.3075928479349095,2.085207152065092,677.9114553750443,0.6268595074280103,1.7659404925719908,281.7123249542155
2008-08-28,1219896000000,24.82,19.43,2.415,21.959842295081387,0.3068227662211509,-0.3068227662211509,-100.0,0.2953300278614108,2.856069972138588,967.0774058501263,0.6021527940825617,2.549247205917437,423.3555388215815
2008-08-29,1219982400000,24.2186,20.65,2.40625,24.11325582656593,0.3281677071877063,-0.3281677071877063,-100.0,0.3169940651741143,2.2430059348258844,707.586097422321,0.6451617723618206,1.9148382276381781,296.79970352680715
2008-09-02,1220328000000,23.7414,21.99,2.395,25.672878492041697,0.34212328034002226,-0.34212328034002226,-100.0,0.3312210015550345,1.6030789984449658,483.9907466370618,0.6733442818950568,1.2609557181049436,187.26760618744933
2008-09-03,1220414400000,23.8514,21.43,2.39375,22.856611356012827,0.30661200682858336,-0.30661200682858336,-100.0,0.2956649301640404,2.2786350698359605,770.6815510962804,0.6022769369926237,1.9720230630073772,327.4279557929559
2008-09-04,1220500800000,23.0314,24.03,2.39,26.618953805858933,0.3439133211214358,-0.3439133211214358,-100.0,0.3333591559251676,2.6466408440748332,793.930749173408,0.6772724770466034,2.302727522953397,340.00016256307214
2008-09-05,1220587200000,22.8829,23.06,2.37875,24.40646124903915,0.3137135479130606,-0.3137135479130606,-100.0,0.3032767810798678,2.596723218920131,856.2222302920993,0.6169903289929284,2.28300967100707,370.02357471850047
2008-09-08,1220846400000,22.56,22.64,2.37563,21.13476409196259,0.26852075773178896,-0.26852075773178896,-100.0,0.25824475660318313,4.040355243396817,1564.5449288270333,0.5267655143349721,3.7718344856650283,716.0367152027543
2008-09-09,1220932800000,21.6686,25.47,2.36375,24.91555521126889,0.30312675288196544,-0.30312675288196544,-100.0,0.29330612769424746,2.2195938723057544,756.7499150987859,0.5964328805762129,1.916467119423789,321.3215068847802
2008-09-10,1221019200000,21.6586,24.52,2.3525,26.936584020273102,0.32713561889118203,-0.32713561889118203,-100.0,0.3173662339383547,1.211233766061646,381.6517438011116,0.6445018528295368,0.8840981471704641,137.1754236685333
2008-09-11,1221105600000,21.8071,24.39,2.3475,29.906021428651947,0.3651262857611624,-0.3651262857611624,-100.0,0.3553108195043357,2.7303891804956635,768.450897246698,0.7204371052654981,2.365262894734501,328.30942180065057
2008-09-12,1221192000000,21.2771,25.66,2.34,28.11295245154303,0.3351697294902909,-0.3351697294902909,-100.0,0.3256234087290508,2.8314765912709485,869.5556017678701,0.6607931382193417,2.496306861780658,377.77433169289986
2008-09-15,1221451200000,20.0514,31.7,2.49375,37.22322401419153,0.4170222655943388,-0.4170222655943388,-100.0,0.407434907651286,1.2568650923487148,308.48242719164267,0.8244571732456247,0.839842826754376,101.8661555758176
